ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,RF-RF2,U-U2,AC YIELD
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",78,65.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",79,44.,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",80,22.5,0.,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",81,-42.1166458,24.8843746,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",82,41.8408203,21.4515724,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",83,-60.9669685,13.1057463,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",84,65.4179230,20.4018879,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",85,-82.5528564,20.0025139,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",86,87.1690674,20.0864162,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",87,-42.8549538,11.9290600,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",88,108.619385,19.9939823,15.,NA,NA,"",0.,0.,0.
Z:/abaqus_part_2/job_e_20mm.odb,load_perf_plast,Increment      0: Step Time =    0.000,"PART-1-1",89,16.7184010,21.6136360,15.,NA,NA,"",0.,0.,0.
