ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,UT-Magnitude,UT-UT1,UT-UT2
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",71,6.19999981,0.,0.,NA,NA,"",1.39500049E-03,-309.998577E-06,-1.36012037E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",72,6.30000019,0.,0.,NA,NA,"",1.41110306E-03,-314.998586E-06,-1.37549546E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",73,6.40000010,0.,0.,NA,NA,"",1.42690004E-03,-319.998566E-06,-1.39055552E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",74,6.5,0.,0.,NA,NA,"",1.44238677E-03,-324.998517E-06,-1.40529557E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",75,6.59999990,0.,0.,NA,NA,"",1.45755860E-03,-329.998496E-06,-1.41971058E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",76,6.69999981,0.,0.,NA,NA,"",1.47241086E-03,-334.998476E-06,-1.43379555E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",77,6.80000019,0.,0.,NA,NA,"",1.48693891E-03,-339.998456E-06,-1.44754560E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",78,6.90000010,0.,0.,NA,NA,"",1.50113809E-03,-344.998436E-06,-1.46095571E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",79,7.,0.,0.,NA,NA,"",1.51500362E-03,-349.998416E-06,-1.47402065E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",80,7.09999990,0.,0.,NA,NA,"",1.52853096E-03,-354.998396E-06,-1.48673577E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",81,7.19999981,0.,0.,NA,NA,"",1.54171558E-03,-359.998347E-06,-1.49909582E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",82,7.30000019,0.,0.,NA,NA,"",1.55455281E-03,-364.998356E-06,-1.51109591E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",83,7.40000010,0.,0.,NA,NA,"",1.56703801E-03,-369.998335E-06,-1.52273092E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",84,7.5,0.,0.,NA,NA,"",1.57916662E-03,-374.998286E-06,-1.53399596E-03
/prb1_bonus/Job-1.odb,charge,Increment      1: Step Time =   2.2200E-16,"BEAM-1",85,7.59999990,0.,0.,NA,NA,"",1.59093412E-03,-379.998266E-06,-1.54488604E-03
