ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U2,MISESMAX,SF-SF2,SM-SM1
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",73,-176.,0.,0.,NA,NA,"",-525.263429E-03,14.625,-1.5E+03,-58.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",74,-171.666672,0.,0.,NA,NA,"",-579.599798E-03,16.25,-1.5E+03,-65.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",75,-167.333328,0.,0.,NA,NA,"",-632.664979E-03,17.875,-1.5E+03,-71.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",76,-163.,0.,0.,NA,NA,"",-684.331417E-03,19.5,-1.5E+03,-78.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",77,-158.666672,0.,0.,NA,NA,"",-734.472156E-03,21.125,-1.5E+03,-84.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",78,-154.333328,0.,0.,NA,NA,"",-782.960236E-03,22.75,-1.5E+03,-91.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",79,-150.,0.,0.,NA,NA,"",-829.668164E-03,24.375,-1.5E+03,-97.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",80,-145.666672,0.,0.,NA,NA,"",-874.468982E-03,26.,-1.5E+03,-104.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",81,-141.333328,0.,0.,NA,NA,"",-917.235732E-03,27.625,-1.5E+03,-110.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",82,-137.,0.,0.,NA,NA,"",-957.840860E-03,29.25,-1.5E+03,-117.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",83,-132.666672,0.,0.,NA,NA,"",-996.157527E-03,30.875,-1.5E+03,-123.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",84,-128.333328,0.,0.,NA,NA,"",-1.03205860,32.5,-1.5E+03,-130.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",85,-124.,0.,0.,NA,NA,"",-1.06541669,34.125,-1.5E+03,-136.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",86,-119.666664,0.,0.,NA,NA,"",-1.09610498,35.75,-1.5E+03,-143.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",87,-115.333336,0.,0.,NA,NA,"",-1.12399602,37.375,-1.5E+03,-149.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",88,-111.,0.,0.,NA,NA,"",-1.14896286,39.,-1.5E+03,-156.E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",89,-106.666664,0.,0.,NA,NA,"",-1.17087829,40.625,-1.5E+03,-162.5E+03
C:/Temp/Job-1.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-3",90,-102.333336,0.,0.,NA,NA,"",-1.18961525,42.25,-1.5E+03,-169.E+03
