ODB Name,Step,Frame,Part Instance Name,Node Label,X,Y,Z,Section Name,Material Name,Section Point,U-U1,U-U2
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",47,100.230766,0.,0.,NA,NA,"",1.02891648,-675.016105E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",48,96.2615356,0.,0.,NA,NA,"",1.02478456,-755.510628E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",49,92.2923050,0.,0.,NA,NA,"",1.02024710,-835.176289E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",50,86.3384628,0.,0.,NA,NA,"",1.01261568,-952.949107E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",51,82.3692322,0.,0.,NA,NA,"",1.00693190,-1.03016734
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",52,78.4000015,0.,0.,NA,NA,"",1.00074494,-1.10622656
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",53,74.4307709,0.,0.,NA,NA,"",994.044363E-03,-1.18101168
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",54,70.4615402,0.,0.,NA,NA,"",986.825943E-03,-1.25441360
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",55,66.4923096,0.,0.,NA,NA,"",979.074001E-03,-1.32631326
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",56,60.5384598,0.,0.,NA,NA,"",966.437578E-03,-1.43103838
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",57,56.5692291,0.,0.,NA,NA,"",957.354069E-03,-1.49856067
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",58,52.5999985,0.,0.,NA,NA,"",947.776794E-03,-1.56406438
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",59,48.6307678,0.,0.,NA,NA,"",937.766969E-03,-1.62738490
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",60,44.6615372,0.,0.,NA,NA,"",927.425146E-03,-1.68838263
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",61,40.6923065,0.,0.,NA,NA,"",916.881204E-03,-1.74693239
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",62,34.7384605,0.,0.,NA,NA,"",901.104629E-03,-1.83000839
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",63,30.7692299,0.,0.,NA,NA,"",890.972137E-03,-1.88220263
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",64,26.7999992,0.,0.,NA,NA,"",881.554067E-03,-1.93194914
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",65,22.8307686,0.,0.,NA,NA,"",873.264194E-03,-1.97956014
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",66,18.8615379,0.,0.,NA,NA,"",866.609395E-03,-2.02552605
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",67,14.8923073,0.,0.,NA,NA,"",862.073541E-03,-2.07074285
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",68,8.93846130,0.,0.,NA,NA,"",859.454513E-03,-2.13985109
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",69,4.96923065,0.,0.,NA,NA,"",859.582365E-03,-2.18829226
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",70,130.,0.,0.,NA,NA,"",1.07072043,-1.50000004E-33
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",71,130.,36.,0.,NA,NA,"",304.950088E-03,-60.3580214E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",72,130.,32.,0.,NA,NA,"",386.502624E-03,-60.3199005E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",73,130.,28.,0.,NA,NA,"",467.625290E-03,-59.9425510E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",74,130.,24.,0.,NA,NA,"",548.425138E-03,-58.9235686E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",75,130.,20.,0.,NA,NA,"",629.164934E-03,-57.0218787E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",76,130.,16.,0.,NA,NA,"",710.173130E-03,-53.9766662E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",77,130.,12.,0.,NA,NA,"",791.909218E-03,-49.3890308E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",78,130.,8.,0.,NA,NA,"",875.117064E-03,-42.4205400E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",79,130.,4.,0.,NA,NA,"",961.801946E-03,-30.3591862E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",80,130.,40.,0.,NA,NA,"",223.070905E-03,-60.3297018E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",81,47.3643417,40.,0.,NA,NA,"",322.046727E-03,-1.65506160
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",82,51.3953476,40.,0.,NA,NA,"",312.702537E-03,-1.58752966
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",83,55.4263573,40.,0.,NA,NA,"",303.694934E-03,-1.51965940
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",84,61.4728699,40.,0.,NA,NA,"",290.840775E-03,-1.41544998
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",85,65.5038757,40.,0.,NA,NA,"",282.754511E-03,-1.34411228
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",86,69.5348816,40.,0.,NA,NA,"",275.076360E-03,-1.27125573
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",87,73.5658951,40.,0.,NA,NA,"",267.852187E-03,-1.19692910
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",88,77.5969009,40.,0.,NA,NA,"",261.098772E-03,-1.12120759
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",89,81.6279068,40.,0.,NA,NA,"",254.822880E-03,-1.04416096
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",90,85.6589127,40.,0.,NA,NA,"",249.015495E-03,-965.891182E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",91,91.7054291,40.,0.,NA,NA,"",241.288990E-03,-846.350431E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",92,95.7364349,40.,0.,NA,NA,"",236.822680E-03,-765.407801E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",93,99.7674408,40.,0.,NA,NA,"",232.939631E-03,-683.602631E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",94,103.798447,40.,0.,NA,NA,"",229.670286E-03,-601.073861E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",95,107.829460,40.,0.,NA,NA,"",227.054283E-03,-517.981470E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",96,111.860466,40.,0.,NA,NA,"",225.112900E-03,-434.524775E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",97,117.906975,40.,0.,NA,NA,"",223.447472E-03,-309.160560E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",98,121.937988,40.,0.,NA,NA,"",223.071501E-03,-225.833207E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",99,125.968994,40.,0.,NA,NA,"",223.041266E-03,-142.918900E-03
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",100,43.3333321,40.,0.,NA,NA,"",334.404379E-03,-1.73152900
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",101,-39.3023262,40.,0.,NA,NA,"",723.608613E-03,-1.77699804
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",102,-35.2713165,40.,0.,NA,NA,"",713.129520E-03,-1.83127177
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",103,-31.2403107,40.,0.,NA,NA,"",702.066660E-03,-1.88519239
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",104,-25.1937981,40.,0.,NA,NA,"",683.609009E-03,-1.96334279
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",105,-21.1627903,40.,0.,NA,NA,"",669.267595E-03,-2.01285458
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",106,-17.1317825,40.,0.,NA,NA,"",652.381659E-03,-2.05940533
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",107,-13.1007748,40.,0.,NA,NA,"",631.903768E-03,-2.10155749
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",108,-9.06976700,40.,0.,NA,NA,"",606.887460E-03,-2.13681459
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",109,-5.03875971,40.,0.,NA,NA,"",577.200770E-03,-2.16202307
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",110,-1.00775194,40.,0.,NA,NA,"",543.904424E-03,-2.17372322
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",111,5.03875971,40.,0.,NA,NA,"",493.441522E-03,-2.16203856
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",112,9.06976700,40.,0.,NA,NA,"",463.702738E-03,-2.13678932
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",113,13.1007748,40.,0.,NA,NA,"",438.769698E-03,-2.10143113
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",114,17.1317825,40.,0.,NA,NA,"",418.306202E-03,-2.05932021
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",115,21.1627903,40.,0.,NA,NA,"",401.425421E-03,-2.01275229
Z:/abaqus_part_2/b_2d.odb,load,Increment      1: Step Time =   2.2200E-16,"PART-1-1",116,25.1937981,40.,0.,NA,NA,"",387.108952E-03,-1.96323335
